"old_lexeme_id","canonical_lexeme_id"
"de.noun.bestellung","de.lex.bestellung"
"de.noun.beton","de.lex.beton"
"de.noun.betreffzeile","de.lex.betreffzeile"
"de.noun.betriebssystem","de.lex.betriebssystem"
"de.noun.bett","de.lex.bett"
"de.noun.bewegung","de.lex.bewegung"
"de.noun.bewerbung","de.lex.bewerbung"
"de.noun.bewertung.rating","de.lex.bewertung.rating"
"de.noun.bewertung.review","de.lex.bewertung.review"
"de.noun.beziehung","de.lex.beziehung"
"de.noun.biber","de.lex.biber"
"de.noun.bibliothek","de.lex.bibliothek"
"de.noun.biene","de.lex.biene"
"de.noun.biene.bee","de.lex.biene"
"de.noun.biene.the-bee","de.lex.biene"
"de.noun.bienenstock","de.lex.bienenstock"
"de.noun.bier","de.lex.bier"
"de.noun.bildschirm","de.lex.bildschirm"
"de.noun.bildung","de.lex.bildung"
"de.noun.billion","de.lex.billion"
"de.noun.biologie","de.lex.biologie"
"de.noun.birne","de.lex.birne"
"de.noun.bitte","de.lex.bitte"
"de.noun.blase","de.lex.blase"
"de.noun.blatt","de.lex.blatt"
"de.noun.blatt.leaf","de.lex.blatt"
"de.noun.blatt.the-leaf","de.lex.blatt"
"de.noun.bleistift","de.lex.bleistift"
"de.noun.blitz","de.lex.blitz"
"de.noun.blume","de.lex.blume"
"de.noun.blume.flower","de.lex.blume"
"de.noun.blume.the-flower","de.lex.blume"
"de.noun.blut","de.lex.blut"
"de.noun.blutdruck","de.lex.blutdruck"
"de.noun.boden.bottom","de.lex.boden.bottom"
"de.noun.boden.floor","de.lex.boden.floor"
"de.noun.boden.floor-ground","de.lex.boden.floor"
"de.noun.boden.the-bottom","de.lex.boden.bottom"
"de.noun.boerse","de.lex.boerse"
"de.noun.bogen.arch","de.lex.bogen.arch"
"de.noun.bogen.bow-curve","de.lex.bogen.bow-curve"
"de.noun.bogen.bow-curve-weapon","de.lex.bogen.bow-curve"
"de.noun.bohne","de.lex.bohne"
"de.noun.bohrer","de.lex.bohrer"
"de.noun.boot","de.lex.boot"
"de.noun.bordkarte","de.lex.bordkarte"
"de.noun.botschaft","de.lex.botschaft"
"de.noun.boxen","de.lex.boxen"
"de.noun.bratwurst","de.lex.bratwurst"
"de.noun.braut","de.lex.braut"
"de.noun.brettspiel","de.lex.brettspiel"
"de.noun.brezel","de.lex.brezel"
"de.noun.brief","de.lex.brief"
"de.noun.briefmarke","de.lex.briefmarke"
"de.noun.briefumschlag","de.lex.briefumschlag"
"de.noun.brille","de.lex.brille"
"de.noun.broetchen","de.lex.broetchen"
"de.noun.brokkoli","de.lex.brokkoli"
"de.noun.brot","de.lex.brot"
"de.noun.brot.bread","de.lex.brot"
"de.noun.brot.the-bread","de.lex.brot"
"de.noun.bruder","de.lex.bruder"
"de.noun.bruecke","de.lex.bruecke"
"de.noun.brunnen","de.lex.brunnen"
"de.noun.brust","de.lex.brust"
"de.noun.buch","de.lex.buch"
"de.noun.buchhalter","de.lex.buchhalter"
"de.noun.buchhandlung","de.lex.buchhandlung"
"de.noun.budget","de.lex.budget"
"de.noun.buergersteig","de.lex.buergersteig"
"de.noun.buero","de.lex.buero"
"de.noun.buerste","de.lex.buerste"
"de.noun.bus","de.lex.bus"
"de.noun.busch","de.lex.busch"
"de.noun.bushaltestelle","de.lex.bushaltestelle"
"de.noun.butter","de.lex.butter"
"de.noun.caf.caf","de.lex.cafe.cafe"
"de.noun.caf.cafe","de.lex.cafe.cafe-2"
"de.noun.cafe.cafe","de.lex.cafe.cafe"
"de.noun.cafe.cafe-2","de.lex.cafe.cafe-2"
"de.noun.campus","de.lex.campus"
"de.noun.chef","de.lex.chef"
"de.noun.chemie","de.lex.chemie"
"de.noun.cloud","de.lex.cloud"
"de.noun.co2-fussabdruck","de.lex.co2-fussabdruck"
"de.noun.computer","de.lex.computer"
"de.noun.cousin","de.lex.cousin"
"de.noun.cousine","de.lex.cousine"
"de.noun.cybersicherheit","de.lex.cybersicherheit"
"de.noun.dach","de.lex.dach"
"de.noun.dachboden","de.lex.dachboden"
"de.noun.damm","de.lex.damm"
"de.noun.dankbarkeit","de.lex.dankbarkeit"
"de.noun.danke","de.lex.danke"
"de.noun.darlehen","de.lex.darlehen"
"de.noun.datei","de.lex.datei"
"de.noun.daten","de.lex.daten"
"de.noun.datenbank","de.lex.datenbank"
"de.noun.daumen","de.lex.daumen"
"de.noun.decke.blanket","de.lex.decke.blanket"
"de.noun.decke.blanket-2","de.lex.decke.blanket-2"
"de.noun.decke.blanket-ceiling","de.lex.decke.blanket"
"de.noun.decke.ceiling","de.lex.decke.blanket"
"de.noun.delfin","de.lex.delfin"
"de.noun.demokratie","de.lex.demokratie"
"de.noun.denkmal","de.lex.denkmal"
"de.noun.depression","de.lex.depression"
"de.noun.designer","de.lex.designer"
"de.noun.dessert","de.lex.dessert"
"de.noun.detail","de.lex.detail"
"de.noun.deutschland","de.lex.deutschland"
"de.noun.dezember","de.lex.dezember"
"de.noun.diaet","de.lex.diaet"
"de.noun.diagnose","de.lex.diagnose"
"de.noun.dialekt","de.lex.dialekt"
"de.noun.dieb","de.lex.dieb"
"de.noun.dienstag","de.lex.dienstag"
"de.noun.ding","de.lex.ding"
"de.noun.diplom","de.lex.diplom"
"de.noun.direktflug","de.lex.direktflug"
"de.noun.diskriminierung","de.lex.diskriminierung"
"de.noun.diskussion","de.lex.diskussion"
"de.noun.doktor","de.lex.doktor"
"de.noun.dokumentarfilm","de.lex.dokumentarfilm"
"de.noun.donner","de.lex.donner"
"de.noun.donnerstag","de.lex.donnerstag"
"de.noun.doppelzimmer","de.lex.doppelzimmer"
"de.noun.dorf","de.lex.dorf"
"de.noun.dorn","de.lex.dorn"
"de.noun.dose","de.lex.dose"
"de.noun.download","de.lex.download"
"de.noun.dreieck","de.lex.dreieck"
"de.noun.drucker","de.lex.drucker"
"de.noun.dschungel","de.lex.dschungel"
"de.noun.durst","de.lex.durst"
"de.noun.e-mail","de.lex.e-mail"
"de.noun.e-mail-adresse","de.lex.e-mail-adresse"
"de.noun.ebbe","de.lex.ebbe"
"de.noun.ecke","de.lex.ecke"
"de.noun.ehefrau","de.lex.ehefrau"
"de.noun.ehemann","de.lex.ehemann"
"de.noun.ei","de.lex.ei"
"de.noun.eidechse","de.lex.eidechse"
"de.noun.einbahnstrasse","de.lex.einbahnstrasse"
"de.noun.einkaufswagen","de.lex.einkaufswagen"
"de.noun.einkommen","de.lex.einkommen"
"de.noun.einsamkeit","de.lex.einsamkeit"
"de.noun.einschreibung","de.lex.einschreibung"
"de.noun.einstellung","de.lex.einstellung"
"de.noun.einwanderung","de.lex.einwanderung"
"de.noun.einzelzimmer","de.lex.einzelzimmer"
"de.noun.eis.ice","de.lex.eis.ice"
"de.noun.eis.ice-cream","de.lex.eis.ice-cream"
"de.noun.eisen","de.lex.eisen"
"de.noun.elefant","de.lex.elefant"
"de.noun.elektriker","de.lex.elektriker"
"de.noun.elektrizitaet","de.lex.elektrizitaet"
"de.noun.element","de.lex.element"
"de.noun.ellbogen","de.lex.ellbogen"
"de.noun.eltern","de.lex.eltern"
"de.noun.empathie","de.lex.empathie"
"de.noun.empfehlung","de.lex.empfehlung"
"de.noun.ende","de.lex.ende"
"de.noun.ende.end","de.lex.ende"
"de.noun.ende.the-end","de.lex.ende"
"de.noun.energie","de.lex.energie"
"de.noun.engel","de.lex.engel"
"de.noun.enkel","de.lex.enkel"
"de.noun.enkelin","de.lex.enkelin"
"de.noun.entdeckung","de.lex.entdeckung"
"de.noun.ente","de.lex.ente"
"de.noun.entfernung","de.lex.entfernung"
"de.noun.entscheidung","de.lex.entscheidung"
"de.noun.entschuldigung","de.lex.entschuldigung"
"de.noun.entschuldigung.excuse-me","de.lex.entschuldigung"
"de.noun.entschuldigung.excuse-me-sorry","de.lex.entschuldigung"
"de.noun.entwicklung","de.lex.entwicklung"
"de.noun.epidemie","de.lex.epidemie"
"de.noun.erbse","de.lex.erbse"
"de.noun.erdbeere","de.lex.erdbeere"
"de.noun.erde","de.lex.erde"
"de.noun.erde.earth","de.lex.erde"
"de.noun.erde.earth-soil","de.lex.erde"
"de.noun.erfahrung","de.lex.erfahrung"
"de.noun.erfindung","de.lex.erfindung"
"de.noun.erfolg","de.lex.erfolg"
"de.noun.ergaenzung","de.lex.ergaenzung"
"de.noun.ergebnis","de.lex.ergebnis"
"de.noun.erhoehung","de.lex.erhoehung"
"de.noun.erinnerung.memory","de.lex.erinnerung.memory"
"de.noun.erinnerung.reminder","de.lex.erinnerung.reminder"
"de.noun.erkaeltung","de.lex.erkaeltung"
"de.noun.erlaubnis","de.lex.erlaubnis"
"de.noun.erleichterung","de.lex.erleichterung"
"de.noun.ersparnisse","de.lex.ersparnisse"
"de.noun.erste-hilfe-set","de.lex.erste-hilfe-set"
"de.noun.erwachsene","de.lex.erwachsene"
"de.noun.erwachsener","de.lex.erwachsener"
"de.noun.essen","de.lex.essen.food"
"de.noun.essen.food","de.lex.essen.food"
"de.noun.essig","de.lex.essig"
"de.noun.esszimmer","de.lex.esszimmer"
"de.noun.etikett","de.lex.etikett"
"de.noun.eule","de.lex.eule"
"de.noun.evolution","de.lex.evolution"
"de.noun.experiment","de.lex.experiment"
"de.noun.export","de.lex.export"
"de.noun.expresslieferung","de.lex.expresslieferung"
"de.noun.fabrik","de.lex.fabrik"
"de.noun.fach","de.lex.fach"
"de.noun.faden","de.lex.faden"
"de.noun.faehigkeit","de.lex.faehigkeit"
"de.noun.fahrer","de.lex.fahrer"
"de.noun.fahrkarte","de.lex.fahrkarte"
"de.noun.fahrrad.bicycle","de.lex.fahrrad.bicycle"
"de.noun.fahrrad.bike","de.lex.fahrrad.bike"
"de.noun.fahrradweg","de.lex.fahrradweg"
"de.noun.fahrt","de.lex.fahrt"
"de.noun.fall","de.lex.fall"
"de.noun.falten","de.lex.falten"
"de.noun.familie","de.lex.familie"
"de.noun.farbe","de.lex.farbe"
"de.noun.faultier","de.lex.faultier"
"de.noun.februar","de.lex.februar"
"de.noun.feder","de.lex.feder"
"de.noun.feedback","de.lex.feedback"
"de.noun.fehler.bug","de.lex.fehler.bug"
"de.noun.fehler.mistake","de.lex.fehler.mistake"
"de.noun.feind","de.lex.feind"
"de.noun.feind.enemy","de.lex.feind"
"de.noun.feind.the-enemy","de.lex.feind"
"de.noun.feld","de.lex.feld"
"de.noun.feld.field","de.lex.feld"
"de.noun.feld.the-field","de.lex.feld"
"de.noun.fenster","de.lex.fenster"
"de.noun.fensterplatz","de.lex.fensterplatz"
"de.noun.ferien","de.lex.ferien"
"de.noun.ferne","de.lex.ferne"
"de.noun.fernseher","de.lex.fernseher"
"de.noun.feuer","de.lex.feuer"
"de.noun.feueralarm","de.lex.feueralarm"
"de.noun.feuerloescher","de.lex.feuerloescher"
"de.noun.feuerwache","de.lex.feuerwache"
"de.noun.feuerwehrmann","de.lex.feuerwehrmann"
"de.noun.feuerwerk","de.lex.feuerwerk"
"de.noun.feuerzeug","de.lex.feuerzeug"
"de.noun.fieber","de.lex.fieber"
"de.noun.film","de.lex.film"
"de.noun.finger","de.lex.finger"
"de.noun.firma","de.lex.firma"
"de.noun.fisch","de.lex.fisch"
"de.noun.fitnessstudio","de.lex.fitnessstudio"
"de.noun.flamme","de.lex.flamme"
"de.noun.flasche","de.lex.flasche"
"de.noun.fledermaus","de.lex.fledermaus"
"de.noun.fleisch","de.lex.fleisch"
"de.noun.fliege","de.lex.fliege"
"de.noun.fluegel","de.lex.fluegel"
"de.noun.fluegel.the-wing","de.lex.fluegel"
"de.noun.fluegel.wing","de.lex.fluegel"
"de.noun.flughafen","de.lex.flughafen"
"de.noun.flugzeug.airplane","de.lex.flugzeug.airplane"
"de.noun.flugzeug.plane","de.lex.flugzeug.plane"
"de.noun.flur","de.lex.flur"
"de.noun.fluss","de.lex.fluss"
"de.noun.flut","de.lex.flut"
"de.noun.fohlen","de.lex.fohlen"
"de.noun.folge","de.lex.folge"
"de.noun.form","de.lex.form"
"de.noun.forschung","de.lex.forschung"
"de.noun.forschungsarbeit","de.lex.forschungsarbeit"
"de.noun.fortschritt","de.lex.fortschritt"
"de.noun.foto","de.lex.foto"
"de.noun.fotograf","de.lex.fotograf"
"de.noun.fotografie","de.lex.fotografie"
"de.noun.frage","de.lex.frage"
"de.noun.frau","de.lex.frau"
"de.noun.freiheit","de.lex.freiheit"
"de.noun.freiheit.freedom","de.lex.freiheit"
"de.noun.freiheit.the-freedom","de.lex.freiheit"
"de.noun.freitag","de.lex.freitag"
"de.noun.freizeit.free-time","de.lex.freizeit.free-time"
"de.noun.freizeit.leisure","de.lex.freizeit.leisure"
"de.noun.fremde","de.lex.fremde"
"de.noun.fremder","de.lex.fremder"
"de.noun.fremdsprache","de.lex.fremdsprache"
"de.noun.frequenz","de.lex.frequenz"
"de.noun.freude","de.lex.freude"
"de.noun.freund","de.lex.freund"
"de.noun.freund.friend","de.lex.freund"
"de.noun.freund.friend-m","de.lex.freund"
"de.noun.freundin.female-friend","de.lex.freundin.female-friend"
"de.noun.freundin.friend","de.lex.freundin.friend"
"de.noun.freundin.friend-f","de.lex.freundin.friend"
"de.noun.freundschaft","de.lex.freundschaft"
"de.noun.frieden","de.lex.frieden"
"de.noun.frist","de.lex.frist"
"de.noun.frosch","de.lex.frosch"
"de.noun.frost","de.lex.frost"
"de.noun.fruehling","de.lex.fruehling"
"de.noun.fruehstueck","de.lex.fruehstueck"
"de.noun.fuchs","de.lex.fuchs"
"de.noun.fuehrerschein","de.lex.fuehrerschein"
"de.noun.funktion","de.lex.funktion"
"de.noun.furcht","de.lex.furcht"
"de.noun.fusion","de.lex.fusion"
"de.noun.fuss","de.lex.fuss"
"de.noun.fussball","de.lex.fussball"
"de.noun.fussgaengerueberweg","de.lex.fussgaengerueberweg"
"de.noun.gabel","de.lex.gabel"
"de.noun.gaertnern","de.lex.gaertnern"
"de.noun.galgen","de.lex.galgen"
"de.noun.gangplatz","de.lex.gangplatz"
"de.noun.gans","de.lex.gans"
"de.noun.ganze","de.lex.ganze"
"de.noun.garage","de.lex.garage"
"de.noun.garn","de.lex.garn"
"de.noun.garten","de.lex.garten"
"de.noun.gast","de.lex.gast"
"de.noun.gebaeude","de.lex.gebaeude"
"de.noun.geburtstag","de.lex.geburtstag"
"de.noun.gedanke","de.lex.gedanke"
"de.noun.gefahr","de.lex.gefahr"
"de.noun.gefuehl","de.lex.gefuehl"
"de.noun.gegenwart","de.lex.gegenwart"
"de.noun.geh","de.lex.geh"
"de.noun.gehalt","de.lex.gehalt"
"de.noun.gehirn","de.lex.gehirn"
"de.noun.geige","de.lex.geige"
"de.noun.geist","de.lex.geist"
"de.noun.geld","de.lex.geld"
"de.noun.geldautomat","de.lex.geldautomat"
"de.noun.geldboerse","de.lex.geldboerse"
"de.noun.geldschein","de.lex.geldschein"
"de.noun.gemeinschaft","de.lex.gemeinschaft"
"de.noun.gemuese","de.lex.gemuese"
"de.noun.gen","de.lex.gen"
"de.noun.genau","de.lex.genau"
"de.noun.genehmigung","de.lex.genehmigung"
"de.noun.genuss","de.lex.genuss"
"de.noun.geografie","de.lex.geografie"
"de.noun.gepaeckausgabe","de.lex.gepaeckausgabe"
"de.noun.gerechtigkeit","de.lex.gerechtigkeit"
"de.noun.gericht.courthouse","de.lex.gericht.courthouse"
"de.noun.gericht.dish","de.lex.gericht.dish"
"de.noun.gesamtbetrag","de.lex.gesamtbetrag"
"de.noun.geschaeft","de.lex.geschaeft"
"de.noun.geschaeftsreise","de.lex.geschaeftsreise"
"de.noun.geschichte","de.lex.geschichte"
"de.noun.geschwindigkeit","de.lex.geschwindigkeit"
"de.noun.gesellschaft","de.lex.gesellschaft"
"de.noun.gesetz","de.lex.gesetz"
"de.noun.gesicht","de.lex.gesicht"
"de.noun.gesicht.face","de.lex.gesicht"
"de.noun.gesicht.the-face","de.lex.gesicht"
"de.noun.gespraech","de.lex.gespraech"
"de.noun.gesundheit.bless-you","de.lex.gesundheit-2"
"de.noun.gesundheit.health","de.lex.gesundheit"
"de.noun.gewerkschaft","de.lex.gewerkschaft"
"de.noun.gewicht","de.lex.gewicht"
"de.noun.gewinn","de.lex.gewinn"
"de.noun.gewohnheit","de.lex.gewohnheit"
"de.noun.giebel","de.lex.giebel"
"de.noun.gift","de.lex.gift"
"de.noun.giraffe","de.lex.giraffe"
"de.noun.gitarre","de.lex.gitarre"
"de.noun.glas","de.lex.glas"
"de.noun.glas.glass","de.lex.glas"
"de.noun.glas.glass-drinking","de.lex.glas"
"de.noun.glaube","de.lex.glaube"
"de.noun.gleichheit","de.lex.gleichheit"
"de.noun.gletscher","de.lex.gletscher"
"de.noun.globalisierung","de.lex.globalisierung"
"de.noun.glueck.happiness","de.lex.glueck.happiness"
"de.noun.glueck.happiness-2","de.lex.glueck.happiness-2"
"de.noun.glueck.luck","de.lex.glueck.happiness"
"de.noun.glueck.luck-happiness","de.lex.glueck.happiness"
"de.noun.gluehbirne","de.lex.gluehbirne"
